ZIP,ZIP_STRING_LEADING_ZERO,ZIP_STRING,FIPS,FIPS_STRING,STATE,CNTY_NAME,_BATCH_ID_,_BATCH_LAST_RUN_
0,STRING,STRING,0,STRING,STRING,STRING,57.0,2024-03-13 21:34:03
36003,36003,36003,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36006,36006,36006,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36008,36008,36008,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36022,36022,36022,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36051,36051,36051,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36066,36066,36066,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36067,36067,36067,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36068,36068,36068,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36091,36091,36091,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36703,36703,36703,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36749,36749,36749,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36758,36758,36758,1001,1001,AL,Autauga,57.0,2024-03-13 21:34:03
36480,36480,36480,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36502,36502,36502,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36507,36507,36507,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36511,36511,36511,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36526,36526,36526,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36527,36527,36527,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36530,36530,36530,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36532,36532,36532,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36533,36533,36533,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36535,36535,36535,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36536,36536,36536,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36542,36542,36542,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36547,36547,36547,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36549,36549,36549,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36550,36550,36550,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36551,36551,36551,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36555,36555,36555,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36559,36559,36559,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36561,36561,36561,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36562,36562,36562,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36564,36564,36564,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36567,36567,36567,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36574,36574,36574,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36576,36576,36576,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36577,36577,36577,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36578,36578,36578,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36579,36579,36579,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36580,36580,36580,1003,1003,AL,Baldwin,57.0,2024-03-13 21:34:03
36016,36016,36016,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
36017,36017,36017,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
36027,36027,36027,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
36048,36048,36048,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
36053,36053,36053,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
36072,36072,36072,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
36311,36311,36311,1005,1005,AL,Barbour,57.0,2024-03-13 21:34:03
