year,county,state,rcra_violations_count,unit_of_measure,annual_toxic_emissions_sum,party_in_control
2004,ADA,ID,28,,,R
2004,ADAMS,CO,51,,,D
2004,AIKEN,SC,10,,,N
2004,ALACHUA,FL,15,,,
2004,ALAMANCE,NC,3,,,R
2004,ALAMEDA,CA,49,,,D
2004,ALBANY,NY,61,,,D
2004,ALBEMARLE,VA,4,,,
2004,ALLEGAN,MI,16,,,
2004,ALLEGHENY,PA,43,,,
2004,ALLEN,IN,20,,,R
2004,ALLEN,OH,22,,,R
2004,ANCHORAGE,AK,17,,,
2004,ANDERSON,SC,8,,,R
2004,ANDROSCOGGIN,ME,12,,,
2004,ANNE ARUNDEL,MD,7,,,
2004,ANOKA,MN,19,,,R
2004,ARAPAHOE,CO,3,,,R
2004,ARLINGTON,VA,2,,,D
2004,ASCENSION,LA,10,,,
2004,ASCENSION PARISH,LA,1,,,
2004,ATLANTIC,NJ,7,,,D
2004,BALDWIN,AL,13,,,R
2004,BALTIMORE,MD,5,,,D
2004,BARTHOLOMEW,IN,4,,,
2004,BARTOW,GA,6,,,
2004,BAY,FL,21,,,R
2004,BAY,MI,5,,,D
2004,BEAUFORT,SC,2,,,D
2004,BEAVER,PA,4,,,
2004,BELL,TX,11,,,R
2004,BENTON,AR,8,,,
2004,BENTON,WA,7,,,R
2004,BERGEN,NJ,30,,,D
2004,BERKELEY,SC,4,,,R
2004,BERKELEY,WV,2,,,
2004,BERKS,PA,20,,,
2004,BERNALILLO,NM,25,,,D
2004,BERRIEN,MI,16,,,R
2004,BEXAR,TX,73,,,N
2004,BIBB,GA,2,,,
2004,BLACK HAWK,IA,5,,,D
2004,BLAIR,PA,5,,,
2004,BLOUNT,TN,5,,,
2004,BONNEVILLE,ID,2,,,
2004,BOONE,KY,52,,,
2004,BOONE,MO,22,,,D
2004,BOULDER,CO,17,,,D
2004,BRADFORD,PA,4,,,
2004,BRADLEY,TN,7,,,
2004,BRAZORIA,TX,43,,,N
2004,BRAZOS,TX,1,,,
2004,BREVARD,FL,27,,,R
2004,BRISTOL,MA,35,,,
2004,BROOME,NY,6,,,R
2004,BROWARD,FL,45,,,D
2004,BROWN,WI,10,,,
2004,BRUNSWICK,NC,2,,,
2004,BUCKS,PA,17,,,
2004,BUNCOMBE,NC,5,,,D
2004,BURLINGTON,NJ,34,,,R
2004,BUTLER,OH,13,,,R
2004,BUTLER,PA,8,,,
2004,BUTTE,CA,19,,,R
2004,CABARRUS,NC,17,,,R
2004,CADDO,LA,6,,,
2004,CALHOUN,AL,38,,,
2004,CALHOUN,MI,1,,,D
2004,CAMBRIA,PA,2,,,
2004,CAMDEN,NJ,28,,,D
2004,CAMERON,TX,77,,,
2004,CAMPBELL,KY,4,,,
2004,CANYON,ID,1,,,
2004,CAPE MAY,NJ,5,,,R
2004,CARBON,PA,1,,,
2004,CARROLL,GA,5,,,R
2004,CARROLL,MD,1,,,
2004,CARVER,MN,3,,,
2004,CASS,MO,6,,,
2004,CASS,ND,19,,,
2004,CATAWBA,NC,6,,,R
2004,CECIL,MD,2,,,D
2004,CENTRE,PA,12,,,
2004,CHAMPAIGN,IL,15,,,N
2004,CHARLESTON,SC,12,,,N
2004,CHARLOTTE,FL,32,,,R
2004,CHATHAM,GA,8,,,N
2004,CHAUTAUQUA,NY,1,,,
2004,CHELAN,WA,17,,,
2004,CHEMUNG,NY,5,,,
2004,CHEROKEE,GA,1,,,
2004,CHESTER,PA,41,,,
2004,CHESTERFIELD,VA,35,,,
2004,CHRISTIAN,KY,14,,,
2004,CITRUS,FL,21,,,
2004,CLACKAMAS,OR,14,,,N
2004,CLARK,IN,1,,,
2004,CLARK,NV,83,,,R
2004,CLARK,OH,8,,,N
2004,CLARK,WA,21,,,D
2004,CLARKE,GA,5,,,
2004,CLAY,FL,22,,,
2004,CLAY,MO,12,,,
2004,CLAYTON,GA,12,,,D
2004,CLERMONT,OH,5,,,R
2004,CLEVELAND,OK,7,,,R
2004,CLINTON,MI,22,,,
2004,COBB,GA,22,,,D
2004,COCONINO,AZ,3,,,
2004,COLLIER,FL,70,,,R
2004,COLLIN,TX,5,,,
2004,COLUMBIA,GA,3,,,R
2004,COLUMBIA,PA,9,,,
2004,COLUMBIANA,OH,38,,,
2004,COMAL,TX,8,,,R
2004,CONTRA COSTA,CA,20,,,D
2004,COOK,IL,82,,,
2004,COWETA,GA,10,,,
2004,COWLITZ,WA,4,,,D
2004,CRAIGHEAD,AR,2,,,
2004,CUMBERLAND,ME,21,,,D
2004,CUMBERLAND,NC,8,,,D
2004,CUMBERLAND,NJ,8,,,N
2004,CUMBERLAND,PA,6,,,
2004,CUYAHOGA,OH,209,,,D
2004,DAKOTA,MN,16,,,
2004,DALLAS,TX,71,,,N
2004,DANE,WI,5,,,
2004,DAUPHIN,PA,11,,,
2004,DAVIDSON,NC,13,,,
2004,DAVIESS,KY,21,,,
2004,DAVIS,UT,11,,,R
2004,DEKALB,GA,13,,,D
2004,DELAWARE,IN,6,,,
2004,DELAWARE,OH,10,,,R
2004,DELAWARE,PA,20,,,
2004,DENTON,TX,2,,,
2004,DENVER,CO,36,,,
2004,DESCHUTES,OR,16,,,R
2004,DONA ANA,NM,3,,,
2004,DORCHESTER,SC,5,,,R
2004,DOUGLAS,CO,5,,,R
2004,DOUGLAS,GA,6,,,
2004,DOUGLAS,KS,1,,,R
2004,DOUGLAS,NE,36,,,N
2004,DOUGLAS,OR,8,,,
2004,DUPAGE,IL,4,,,R
2004,DURHAM,NC,6,,,
2004,DUTCHESS,NY,6,,,
2004,DUVAL,FL,132,,,
2004,EAST BATON ROUGE,LA,25,,,R
2004,EAST BATON ROUGE PARISH,LA,2,,,
2004,EATON,MI,2,,,R
2004,ECTOR,TX,20,,,
2004,EL PASO,CO,31,,,R
2004,EL PASO,TX,99,,,D
2004,ELKHART,IN,52,,,
2004,ELLIS,TX,9,,,
2004,ERIE,NY,14,,,D
2004,ERIE,PA,50,,,
2004,ESCAMBIA,FL,7,,,
2004,ESSEX,NJ,27,,,D
2004,ETOWAH,AL,8,,,
2004,FAIRFAX,VA,10,,,
2004,FAIRFAX CITY,VA,2,,,
2004,FAIRFIELD,OH,34,,,R
2004,FAULKNER,AR,12,,,
2004,FAYETTE,GA,3,,,D
2004,FORSYTH,GA,2,,,R
2004,FORSYTH,NC,22,,,R
2004,FORT BEND,TX,16,,,R
2004,FRANKLIN,MO,5,,,
2004,FRANKLIN,OH,59,,,D
2004,FRANKLIN,WA,4,,,
2004,FREDERICK,MD,1,,,
2004,FRESNO,CA,6,,,D
2004,FULTON,GA,39,,,
2004,GALVESTON,TX,51,,,
2004,GARLAND,AR,2,,,
2004,GASTON,NC,6,,,R
2004,GENESEE,MI,33,,,
2004,GILA,AZ,3,,,
2004,GLOUCESTER,NJ,20,,,D
2004,GRAND TRAVERSE,MI,1,,,
2004,GRANT,WA,27,,,
2004,GRAYSON,TX,1,,,R
2004,GREENE,MO,21,,,R
2004,GREENE,OH,4,,,R
2004,GREENVILLE,SC,24,,,R
2004,GREGG,TX,3,,,
2004,GUADALUPE,TX,12,,,
2004,GUILFORD,NC,27,,,D
2004,GWINNETT,GA,5,,,R
2004,HALL,GA,9,,,
2004,HAMILTON,IN,15,,,R
2004,HAMILTON,OH,55,,,N
2004,HAMILTON,TN,43,,,
2004,HARNETT,NC,2,,,R
2004,HARRIS,TX,423,,,N
2004,HAWAII,HI,8,,,D
2004,HAYS,TX,13,,,N
2004,HENDERSON,NC,1,,,
2004,HENDRICKS,IN,9,,,
2004,HENNEPIN,MN,43,,,R
2004,HENRICO,VA,10,,,
2004,HERNANDO,FL,8,,,
2004,HIDALGO,TX,70,,,
2004,HILLSBOROUGH,FL,45,,,R
2004,HILLSBOROUGH,NH,39,,,R
2004,HONOLULU,HI,35,,,D
2004,HOUSTON,AL,4,,,
2004,HOUSTON,GA,5,,,
2004,HOWARD,MD,1,,,R
2004,HUDSON,NJ,15,,,D
2004,HUNTERDON,NJ,4,,,
2004,IMPERIAL,CA,17,,,R
2004,INDIAN RIVER,FL,4,,,R
2004,INGHAM,MI,45,,,D
2004,IREDELL,NC,18,,,R
2004,JACKSON,MI,50,,,
2004,JACKSON,MO,83,,,
2004,JACKSON,OR,16,,,
2004,JASPER,MO,32,,,
2004,JEFFERSON,AL,79,,,
2004,JEFFERSON,AR,8,,,
2004,JEFFERSON,CO,10,,,R
2004,JEFFERSON,KY,70,,,D
2004,JEFFERSON,LA,5,,,
2004,JEFFERSON,MO,6,,,
2004,JEFFERSON,NY,2,,,
2004,JEFFERSON,TX,56,,,N
2004,JOHNSON,IA,4,,,D
2004,JOHNSON,IN,5,,,
2004,JOHNSON,KS,31,,,R
2004,JOHNSON,TX,8,,,
2004,JOHNSTON,NC,2,,,
2004,KALAMAZOO,MI,23,,,R
2004,KANAWHA,WV,53,,,
2004,KANE,IL,7,,,R
2004,KANKAKEE,IL,3,,,
2004,KAUFMAN,TX,10,,,
2004,KENDALL,IL,1,,,
2004,KENNEBEC,ME,13,,,
2004,KENOSHA,WI,3,,,
2004,KENT,DE,23,,,D
2004,KENT,MI,30,,,R
2004,KENTON,KY,9,,,
2004,KERN,CA,8,,,R
2004,KING,WA,290,,,
2004,KINGS,CA,1,,,R
2004,KITSAP,WA,56,,,N
2004,KNOX,TN,17,,,N
2004,LACKAWANNA,PA,10,,,
2004,LAFAYETTE,LA,2,,,
2004,LAKE,FL,17,,,R
2004,LAKE,IL,8,,,R
2004,LAKE,IN,46,,,
2004,LAKE,OH,35,,,
2004,LANCASTER,NE,74,,,
2004,LANCASTER,PA,15,,,
2004,LANE,OR,32,,,N
2004,LAPORTE,IN,2,,,
2004,LARIMER,CO,15,,,N
2004,LASALLE,IL,1,,,
2004,LEA,NM,2,,,R
2004,LEBANON,PA,5,,,
2004,LEE,AL,10,,,
2004,LEE,FL,89,,,R
2004,LEHIGH,PA,6,,,
2004,LEON,FL,11,,,
2004,LEWIS,WA,5,,,
2004,LEXINGTON,SC,10,,,R
2004,LICKING,OH,14,,,N
2004,LIMESTONE,AL,10,,,
2004,LINN,IA,7,,,
2004,LINN,OR,14,,,R
2004,LIVINGSTON,MI,9,,,
2004,LORAIN,OH,36,,,D
2004,LOS ANGELES,CA,139,,,R
2004,LOWNDES,GA,23,,,
2004,LUBBOCK,TX,19,,,N
2004,LUCAS,OH,108,,,D
2004,LUZERNE,PA,8,,,
2004,LYCOMING,PA,8,,,
2004,MACOMB,MI,156,,,D
2004,MACON,IL,3,,,
2004,MADERA,CA,3,,,D
2004,MADISON,AL,32,,,
2004,MADISON,IL,9,,,
2004,MADISON,IN,17,,,
2004,MAHONING,OH,31,,,D
2004,MANATEE,FL,68,,,
2004,MARICOPA,AZ,127,,,R
2004,MARION,FL,10,,,
2004,MARION,OR,2,,,R
2004,MARTIN,FL,13,,,R
2004,MAUI,HI,1,,,D
2004,MC HENRY,IL,1,,,
2004,MCHENRY,IL,6,,,R
2004,MCKINLEY,NM,2,,,D
2004,MCLEAN,IL,8,,,R
2004,MCLENNAN,TX,23,,,
2004,MECKLENBURG,NC,22,,,D
2004,MEDINA,OH,14,,,
2004,MENDOCINO,CA,4,,,D
2004,MERCED,CA,1,,,R
2004,MERCER,NJ,10,,,
2004,MERCER,PA,16,,,
2004,MERRIMACK,NH,13,,,
2004,MESA,CO,12,,,R
2004,MIAMI,OH,13,,,
2004,MIAMI DADE,FL,2,,,
2004,MIAMI-DADE,FL,38,,,R
2004,MIDDLESEX,NJ,43,,,D
2004,MIDLAND,TX,12,,,D
2004,MILWAUKEE,WI,46,,,R
2004,MISSOULA,MT,4,,,
2004,MOBILE,AL,8,,,R
2004,MOHAVE,AZ,2,,,
2004,MONMOUTH,NJ,9,,,R
2004,MONONGALIA,WV,2,,,
2004,MONROE,IN,8,,,
2004,MONROE,MI,5,,,
2004,MONROE,NY,36,,,R
2004,MONTGOMERY,AL,9,,,
2004,MONTGOMERY,MD,1,,,
2004,MONTGOMERY,OH,42,,,N
2004,MONTGOMERY,PA,88,,,
2004,MONTGOMERY,TN,3,,,
2004,MONTGOMERY,TX,1,,,
2004,MORGAN,AL,5,,,R
2004,MORRIS,NJ,35,,,R
2004,MULTNOMAH,OR,98,,,D
2004,MUSKEGON,MI,19,,,D
2004,NAPA,CA,2,,,R
2004,NASSAU,NY,14,,,
2004,NAVAJO,AZ,2,,,
2004,NEW CASTLE,DE,51,,,D
2004,NEW HANOVER,NC,13,,,R
2004,NEWTON,GA,3,,,
2004,NIAGARA,NY,10,,,
2004,NORFOLK,MA,69,,,
2004,NORTHAMPTON,PA,15,,,
2004,NORTHUMBERLAND,PA,20,,,
2004,NUECES,TX,88,,,N
2004,OAKLAND,MI,273,,,R
2004,OCEAN,NJ,1,,,R
2004,OKALOOSA,FL,6,,,
2004,OKLAHOMA,OK,11,,,
2004,OLMSTED,MN,26,,,
2004,ONEIDA,NY,15,,,
2004,ONONDAGA,NY,16,,,
2004,ONSLOW,NC,1,,,
2004,ORANGE,CA,77,,,R
2004,ORANGE,FL,99,,,R
2004,ORANGE,NC,5,,,D
2004,ORANGE,NY,11,,,
2004,OSCEOLA,FL,6,,,R
2004,OSWEGO,NY,1,,,
2004,OTERO,NM,4,,,R
2004,OTTAWA,MI,39,,,R
2004,OUTAGAMIE,WI,8,,,
2004,PALM BEACH,FL,34,,,N
2004,PARKER,TX,3,,,
2004,PASCO,FL,51,,,R
2004,PASSAIC,NJ,17,,,D
2004,PAULDING,GA,2,,,
2004,PENOBSCOT,ME,10,,,
2004,PEORIA,IL,3,,,D
2004,PICKENS,SC,4,,,R
2004,PIERCE,WA,58,,,D
2004,PIKE,PA,1,,,
2004,PIMA,AZ,34,,,D
2004,PINAL,AZ,7,,,
2004,PINELLAS,FL,219,,,R
2004,PITT,NC,1,,,D
2004,PLACER,CA,10,,,R
2004,PLYMOUTH,MA,23,,,
2004,POLK,FL,62,,,
2004,POLK,IA,24,,,R
