,stateid,county,year,rcra_violations_count,unit_of_measure,annual_toxic_emissions_sum,population,urate,gsp,pincome,governor_is_democrat_1yes,number_in_lower_house_democrat,number_in_lower_house_republican,fraction_house_that_is_democrat,number_in_upper_house_democrat,number_in_upper_house_republican,fraction_senate_that_is_democrat,house_dem_majority,senate_dem_majority,unified_legislature,trifecta_dem,trifecta_rep,trifecta_status,governor_party_lag,governor_party_change,governor_party_shift_direction,governor_shift_to_democrat,governor_shift_to_republican,house_majority_lag,house_party_change,house_party_shift_direction,house_shift_to_democrat,house_shift_to_republican,senate_majority_lag,senate_party_change,senate_party_shift_direction,senate_shift_to_democrat,senate_shift_to_republican,unified_legislature_lag,unified_legislature_change,trifecta_status_lag,trifecta_change,trifecta_shift_direction,trifecta_shift_to_democrat,trifecta_shift_to_republican,divided_to_unified,state,total_rcra_violations,total_toxic_emissions,party_in_control_filled,party_in_control_lag,partisan_change,partisan_change_to_republican,partisan_change_to_democrat,geo_name,state_abb,party_in_control
0,AK,ANCHORAGE,2004,17,,,659286.0,7.5,34987.9,24338300.0,0.0,13.0,27.0,0.33,8.0,12.0,0.4,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,17.0,,,,,,,,,
1,AK,ANCHORAGE,2005,4,,,666946.0,6.9,39788.7,25956900.0,0.0,14.0,26.0,0.35,8.0,12.0,0.4,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,4.0,,,,,,,,,
2,AK,ANCHORAGE,2006,11,,,675302.0,6.6,44457.1,27726700.0,0.0,17.0,23.0,0.43,8.0,12.0,0.4,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,11.0,,,,,,,,,
3,AK,ANCHORAGE,2007,8,,,680300.0,6.3,49002.6,29838900.0,0.0,17.0,23.0,0.43,9.0,11.0,0.45,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,8.0,,,,,,,,,
4,AK,ANCHORAGE,2008,4,,,687455.0,6.7,54759.0,32825100.0,0.0,17.0,23.0,0.43,9.0,11.0,0.45,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,4.0,,,,,,,,,
5,AK,ANCHORAGE,2009,1,,,698895.0,7.7,49651.6,32896400.0,0.0,18.0,22.0,0.45,10.0,10.0,0.5,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,1.0,,,,,,,,,
6,AK,ANCHORAGE,2010,5,,,713910.0,7.9,52947.7,35293800.0,0.0,18.0,22.0,0.45,10.0,10.0,0.5,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,5.0,,,,,,,,,
7,AK,ANCHORAGE,2011,8,,,722128.0,7.6,56333.9,37827800.0,0.0,16.0,24.0,0.4,10.0,10.0,0.5,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,8.0,,,,,,,,,
8,AK,ANCHORAGE,2012,2,,,730443.0,7.1,57717.5,39169200.0,0.0,16.0,24.0,0.4,10.0,10.0,0.5,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,2.0,,,,,,,,,
9,AK,ANCHORAGE,2013,4,,,737068.0,7.0,56625.3,38859500.0,0.0,14.0,26.0,0.35,7.0,13.0,0.35,0.0,0.0,1.0,0.0,1.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican Trifecta,0.0,0.0,0.0,0.0,0.0,Alaska,4.0,,,,,,,,,
